Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,03-08-2025 19:40:20,03-08-2025 19:40:24,3.650s,PASSED
,,,,,,,
Test Cases/POS_Login,,,,03-08-2025 19:40:21,03-08-2025 19:40:23,2.132s,PASSED
"response = sendRequest(findTestObject(""Login/POST_Login_user""))",,,,03-08-2025 19:40:21,03-08-2025 19:40:23,1.695s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:40:23,03-08-2025 19:40:23,0.022s,PASSED
,,,,,,,
Test Cases/GET_Validate UserId,,,,03-08-2025 19:40:23,03-08-2025 19:40:24,0.847s,PASSED
"response = sendRequest(findTestObject(""User/GET_Validate_UserId"", [""UserId"":""11361""]))",,,,03-08-2025 19:40:23,03-08-2025 19:40:24,0.758s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:40:24,03-08-2025 19:40:24,0.017s,PASSED
