Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regist,,,,03-08-2025 19:40:12,03-08-2025 19:40:16,4.240s,PASSED
,,,,,,,
Test Cases/POS_User,,,,03-08-2025 19:40:13,03-08-2025 19:40:16,2.971s,PASSED
"response = sendRequest(findTestObject(""User/POST_User""))",,,,03-08-2025 19:40:13,03-08-2025 19:40:16,2.457s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:40:16,03-08-2025 19:40:16,0.077s,PASSED
,,,,,,,
Test Cases/GET_Validate Username,,,,03-08-2025 19:40:16,03-08-2025 19:40:16,0.553s,PASSED
"response = sendRequest(findTestObject(""User/GET_Validate_Username"", [""username"":""userbarulagi001""]))",,,,03-08-2025 19:40:16,03-08-2025 19:40:16,0.407s,PASSED
"verifyResponseStatusCode(response, 200)",,,,03-08-2025 19:40:16,03-08-2025 19:40:16,0.014s,PASSED
